freq_MHz,r1_mm,r2_mm,sPath_mm,liftOff_mm,cond_MS,phase,real,imag,amp
2,0.1,0.1,2.04,0.1,0.74,40.61,3.79E-06,3.25E-06,4.99463E-06
2,0.2,0.2,2.04,0.1,0.74,44.76,6.38E-05,6.33E-05,8.98889E-05
2,0.3,0.3,2.04,0.1,0.74,46.47,2.66E-04,2.80E-04,0.000385776
2,0.4,0.4,2.04,0.1,0.74,47.33,7.95E-04,8.63E-04,0.001173679
2,0.5,0.5,2.04,0.1,0.74,48.05,1.74E-03,1.93E-03,0.002596624
2,0.6,0.6,2.04,0.1,0.74,48.47,3.38E-03,3.82E-03,0.005100529
2,0.7,0.7,2.04,0.1,0.74,48.98,5.34E-03,6.14E-03,0.008142555
2,0.8,0.8,2.04,0.1,0.74,47.75,7.71E-03,8.49E-03,0.011464491
2,0.9,0.9,2.04,0.1,0.74,48.33,1.02E-02,1.15E-02,0.015390656
2,1.5,1.5,2.04,0.1,0.74,51.49,2.18E-02,2.74E-02,0.035026929
2,2,2,2.04,0.1,0.74,53.69,2.65E-02,3.61E-02,0.044809102
